ds,y
2024-11-14 11:00:00,374.20654
2024-11-14 11:15:00,241.39558
2024-11-14 11:30:00,367.63406
2024-11-14 11:45:00,384.35928
2024-11-14 12:00:00,376.8968
2024-11-14 12:15:00,408.8922
2024-11-14 12:30:00,328.86108
2024-11-14 12:45:00,362.92065
2024-11-14 13:00:00,414.97293
2024-11-14 13:15:00,357.34125
2024-11-14 13:30:00,431.95004
2024-11-14 13:45:00,469.79443
2024-11-14 14:00:00,321.58813
2024-11-14 14:15:00,1086.8712
2024-11-14 14:30:00,361.07303
2024-11-14 14:45:00,351.0254
2024-11-14 15:00:00,508.90244
2024-11-14 15:15:00,377.1863
2024-11-14 15:30:00,394.75287
2024-11-14 15:45:00,510.7256
2024-11-14 16:00:00,574.17444
2024-11-14 16:15:00,2006.3492
2024-11-14 16:30:00,2524.3333
2024-11-14 16:45:00,507.33334
2024-11-14 17:00:00,687.6667
2024-11-14 17:15:00,971.6667
2024-11-14 17:30:00,1436.0
2024-11-14 17:45:00,1069.6666
2024-11-14 18:00:00,947.6667
2024-11-14 18:15:00,998.0
2024-11-14 18:30:00,1086.5
2024-11-14 18:45:00,994.0
2024-11-14 19:00:00,1034.3334
2024-11-14 19:15:00,986.3333
2024-11-14 19:30:00,900.3333
2024-11-14 19:45:00,1098.3334
2024-11-14 20:00:00,1194.0
2024-11-14 20:15:00,1097.3334
2024-11-14 20:30:00,1116.6666
2024-11-14 20:45:00,922.3333
2024-11-14 21:00:00,2792.3333
2024-11-14 21:15:00,1634.6666
2024-11-14 21:30:00,2642.3333
2024-11-14 21:45:00,2813.0
2024-11-14 22:00:00,1700.6666
2024-11-14 22:15:00,1229.6666
2024-11-14 22:30:00,1051.6666
2024-11-14 22:45:00,672.0
2024-11-14 23:00:00,662.0
2024-11-14 23:15:00,689.3333
2024-11-14 23:30:00,612.0
2024-11-14 23:45:00,634.0
2024-11-15 00:00:00,462.33334
2024-11-15 00:15:00,359.0
2024-11-15 00:30:00,1086.3334
2024-11-15 00:45:00,995.6667
2024-11-15 01:00:00,486.33334
2024-11-15 01:15:00,317.66666
2024-11-15 01:30:00,166.0
2024-11-15 01:45:00,364.33334
